stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
7631,60364,צומת מצפה שלם, רחוב:90  עיר: מגילות ים המלח רציף:   קומה:  ,31.559575,35.403730,0,,11176
7632,60366,מרכז מסחרי/רשב''י, רחוב:רבי שמעון בר יוחאי  עיר: מודיעין עילית רציף:   קומה:  ,31.937255,35.039458,0,,3797
7633,60367,רשב''י / טרפון, רחוב:רבי שמעון בר יוחאי 22 עיר: מודיעין עילית רציף:   קומה:  ,31.937406,35.042733,0,,3797
7636,60370,מסילת יוסף א, רחוב:מסילת יוסף 12 עיר: מודיעין עילית רציף:   קומה:  ,31.931541,35.045213,0,,3797
7638,60372,מסילת יוסף ד, רחוב:מסילת יוסף  עיר: מודיעין עילית רציף:   קומה:  ,31.927054,35.041416,0,,3797
7639,60373,נתיבות המשפט יד, רחוב:נתיבות המשפט 79 עיר: מודיעין עילית רציף:   קומה:  ,31.925001,35.042943,0,,3797
7640,60374,נתיבות המשפט טו, רחוב:נתיבות המשפט 75 עיר: מודיעין עילית רציף:   קומה:  ,31.925625,35.043878,0,,3797
7641,60376,נתיבות המשפט/מרומי שדה, רחוב:נתיבות המשפט 41 עיר: מודיעין עילית רציף:   קומה:  ,31.929886,35.044941,0,,3797
7642,60377,נתיבות המשפט/חת''ם סופר, רחוב:נתיבות המשפט 3 עיר: מודיעין עילית רציף:   קומה:  ,31.933560,35.047339,0,,3797
7643,60378,אבני נזר/חפץ חיים, רחוב:אבני נזר 6 עיר: מודיעין עילית רציף:   קומה:  ,31.934647,35.045488,0,,3797
7644,60379,אבני נזר ג, רחוב:אבני נזר 20 עיר: מודיעין עילית רציף:   קומה:  ,31.934252,35.041597,0,,3797
7645,60380,אבני נזר ד, רחוב:אבני נזר 28 עיר: מודיעין עילית רציף:   קומה:  ,31.932986,35.040464,0,,3797
7646,60381,אור החיים ט, רחוב:אור החיים 5 עיר: מודיעין עילית רציף:   קומה:  ,31.933401,35.044393,0,,3797
7647,60382,חפץ חיים א, רחוב:חפץ חיים 12 עיר: מודיעין עילית רציף:   קומה:  ,31.932683,35.045155,0,,3797
7648,60383,חפץ חיים ב, רחוב:חפץ חיים 18 עיר: מודיעין עילית רציף:   קומה:  ,31.931609,35.044184,0,,3797
7651,60386,חפץ חיים/מסילת יוסף, רחוב:חפץ חיים 9 עיר: מודיעין עילית רציף:   קומה:  ,31.932260,35.045027,0,,3797
7652,60387,אור החיים/חפץ חיים, רחוב:אור החיים 4 עיר: מודיעין עילית רציף:   קומה:  ,31.933399,35.044751,0,,3797
7653,60388,אבני נזר/אור החיים, רחוב:אבני נזר 55 עיר: מודיעין עילית רציף:   קומה:  ,31.931073,35.039698,0,,3797
7657,60392,רשב''י ג, רחוב:רבי שמעון בר יוחאי 15 עיר: מודיעין עילית רציף:   קומה:  ,31.937548,35.040556,0,,3797
7661,60413,קבר רחל, רחוב:דרך חברון  עיר: ירושלים רציף:   קומה:  ,31.720193,35.202604,0,,3000
7662,60414,קבר רחל, רחוב:דרך חברון  עיר: ירושלים רציף:   קומה:  ,31.720059,35.202433,0,,3000
7663,60415,צומת כפר אדומים, רחוב:1  עיר: מעלה אדומים רציף:   קומה:  ,31.814308,35.348570,0,,3616
7664,60416,מחנה ורד יריחו, רחוב:  עיר: מגילות ים המלח רציף:   קומה:  ,31.822487,35.442200,0,,74
7665,60417,ורד יריחו, רחוב:  עיר: ורד יריחו רציף:   קומה:  ,31.826568,35.432445,0,,3639
7666,60418,מחנה ורד יריחו, רחוב:  עיר: מגילות ים המלח רציף:   קומה:  ,31.822103,35.443444,0,,74
7671,60423,צומת כפר אדומים, רחוב:1  עיר: מעלה אדומים רציף:   קומה:  ,31.814301,35.350260,0,,3616
7672,60424,צומת מצפה-יריחו, רחוב:1  עיר: מעלה אדומים רציף:   קומה:  ,31.819612,35.389101,0,,3616
7673,60425,צומת מצפה-יריחו, רחוב:1  עיר: מעלה אדומים רציף:   קומה:  ,31.818684,35.389105,0,,13991
7675,60427,צומת כפר אדומים, רחוב:458  עיר: מטה בנימין רציף:   קומה:  ,31.815082,35.349220,0,,73
7676,60428,מערת-המכפלה, רחוב:  עיר: הר חברון רציף:   קומה:  ,31.522902,35.110019,0,,7778
7677,60429,תומר/מזכירות, רחוב:  עיר: תומר רציף:   קומה:  ,32.018728,35.439449,0,,3558
7678,60430,גילגל/כניסה, רחוב:  עיר: גלגל רציף:   קומה:  ,31.999344,35.446534,0,,3606
7679,60431,מזכירות, רחוב:  עיר: נתיב הגדוד רציף:   קומה:  ,31.988921,35.445682,0,,3555
7680,60432,צומת תומר/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,32.020729,35.446090,0,,11147
7681,60433,צומת תומר/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,32.021858,35.446231,0,,11146
7683,60435,חדר אוכל, רחוב:  עיר: נירן רציף:   קומה:  ,31.966887,35.455382,0,,3620
7684,60436,צומת גילגל/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,31.999598,35.454071,0,,11148
7686,60438,צומת גילגל/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,31.998710,35.454492,0,,11149
7687,60439,צומת פצאל/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,32.047816,35.463462,0,,11145
7688,60440,צומת נירן/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,31.976872,35.467961,0,,11150
7689,60441,צומת נירן/כביש 90, רחוב:90  עיר: ערבות הירדן רציף:   קומה:  ,31.974000,35.469246,0,,11151
7692,60444,דרך ירושלים/עמוס, רחוב:דרך ירושלים  עיר: תקוע רציף:   קומה:  ,31.652577,35.226749,0,,3563
7695,60447,מזכירות, רחוב:  עיר: פצאל רציף:   קומה:  ,32.045192,35.443716,0,,3615
7702,60454,'רמונים א, רחוב:  עיר: רימונים רציף:   קומה:  ,31.930635,35.343988,0,,3565
7703,60455,גבעון החדשה/מרכז, רחוב:  עיר: גבעון החדשה רציף:   קומה:  ,31.849141,35.156908,0,,3644
7710,60462,מחנה פלס, רחוב:  עיר: ערבות הירדן רציף:   קומה:  ,32.257160,35.511554,0,,12459
7714,60466,צומת אלמוג, רחוב:  עיר: מגילות ים המלח רציף:   קומה:  ,31.802294,35.449641,0,,74
7717,60469,כרמל/יציאה, רחוב:  עיר: כרמל רציף:   קומה:  ,31.431718,35.182274,0,,3656
7718,60470,צומת אפרת דרום, רחוב:60  עיר: גוש עציון רציף:   קומה:  ,31.651260,35.141285,0,,12392
7719,60471,צומת אפרת דרום, רחוב:3157  עיר: גוש עציון רציף:   קומה:  ,31.651197,35.142656,0,,13483
7720,60472,צומת אפרת דרום, רחוב:60  עיר: גוש עציון רציף:   קומה:  ,31.651995,35.143017,0,,12391
